REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2010,40,505,39390,0.679127122645263
Illinois,2010,41,600,41354,0.7205987810452128
Illinois,2010,42,644,41122,0.7048512864598029
Illinois,2010,43,623,42741,0.7291742945893914
Illinois,2010,44,625,41966,0.7184369106941562
Illinois,2010,45,651,41894,0.7063481873160762
Illinois,2010,46,661,40492,0.6980333186140539
Illinois,2010,47,622,34238,0.6604807284231645
Illinois,2010,48,659,40646,0.7197078661479956
Illinois,2010,49,732,39506,0.674098341720547
Illinois,2010,50,775,37787,0.687086333551531
Illinois,2010,51,1039,33621,0.6326744196145528
Illinois,2010,52,1251,35224,0.7123719856440349
Illinois,2011,1,1172,39188,0.7410514923755676
Illinois,2011,2,1280,38982,0.7174391310872452
Illinois,2011,3,1664,41243,0.7508851094342582
Illinois,2011,4,1991,42193,0.7618646139486303
Illinois,2011,5,1857,37377,0.6974271750597456
Illinois,2011,6,1774,41906,0.7424744423380167
Illinois,2011,7,1739,43006,0.7693762178943776
Illinois,2011,8,1568,40630,0.7175431899351862
Illinois,2011,9,1579,42730,0.7495884273877959
Illinois,2011,10,1345,42161,0.7357367797916124
Illinois,2011,11,1284,38067,0.6866418208660324
Illinois,2011,12,1045,39643,0.7321750767893117
Illinois,2011,13,985,38600,0.7366076998844738
Illinois,2011,14,851,39523,0.7389654750861145
Illinois,2011,15,616,39220,0.738540070281968
Illinois,2011,16,640,37168,0.7173265636366336
Illinois,2011,17,526,34493,0.6534954894559657
Illinois,2011,18,479,35533,0.6797912043277863
Illinois,2011,19,575,36148,0.6979290432964214
Illinois,2011,20,392,32750,0.7087906691017213
Illinois,2011,21,381,30764,0.6567405351703299
Illinois,2011,22,516,30644,0.6728017983175395
Illinois,2011,23,392,31079,0.6645639994868067
Illinois,2011,24,311,28088,0.6154561850022755
Illinois,2011,25,307,28830,0.6163700950564088
Illinois,2011,26,379,30372,0.6808820308714254
Illinois,2011,27,372,24448,0.5726806204232255
Illinois,2011,28,244,29654,0.6367576567439801
Illinois,2011,29,335,29379,0.6362109892306539
Illinois,2011,30,356,30106,0.677741237738086
Illinois,2011,31,351,25231,0.5833026692225444
Illinois,2011,32,316,31238,0.7114407559731788
Illinois,2011,33,370,32198,0.7137426155193244
Illinois,2011,34,398,32722,0.7094610709200893
Illinois,2011,35,431,32838,0.6984554629534442
