DATE,PRCP,SNOW,TAVG,TMAX,TMIN,YEAR,WEEK,TOTAL PATIENTS,RATIO
26/09/2010,0.028179337,0,0.806894786,0.769854794,0.654558062,2010,40,0.295786998,0.679127123
03/10/2010,0.022789776,0.085517905,0.5437324,0.492292736,0.385408039,2010,41,0.321880771,0.720598781
10/10/2010,0.001142363,0,0.788633842,0.783925648,0.607571409,2010,42,0.318798411,0.704851286
17/10/2010,0.012765813,0.012574709,0.616178855,0.593872739,0.438124771,2010,43,0.340308502,0.729174295
24/10/2010,0.013595053,0,0.640754331,0.617388414,0.46530172,2010,44,0.330011825,0.718436911
31/10/2010,0.047173715,0,0.622511937,0.571186734,0.469544114,2010,45,0.32905523,0.706348187
07/11/2010,0.059020739,2.0776E-05,0.587934124,0.536432814,0.432722125,2010,46,0.310428209,0.698033319
14/11/2010,0.011581176,0.000139135,0.684168284,0.644951868,0.525184017,2010,47,0.227337346,0.660480728
21/11/2010,0.003964849,0,0.486653376,0.40786761,0.347604398,2010,48,0.312474258,0.719707866
28/11/2010,0.076248752,0,0.418551071,0.344259639,0.270970165,2010,49,0.297328178,0.674098342
05/12/2010,0.059628422,0.002475157,0.47265125,0.392254745,0.33400104,2010,50,0.274489484,0.687086334
12/12/2010,0.065836299,0.009191708,0.754615013,0.733097934,0.585474419,2010,51,0.219139862,0.63267442
19/12/2010,0.006415545,0.018544017,0.192245715,0.057831016,0.080064794,2010,52,0.240437376,0.712371986
02/01/2011,0.057515788,0.025629035,0.34198707,0.237936865,0.214381883,2011,2,0.290366296,0.717439131
09/01/2011,0.017332719,0,0.742834523,0.721682999,0.5725679,2011,3,0.320406021,0.750885109
16/01/2011,0.003867466,0.000666697,0.364038261,0.260447093,0.237569744,2011,4,0.333027755,0.761864614
23/01/2011,0.018346893,0.022301391,0.199908463,0.072410033,0.082383573,2011,5,0.26904221,0.697427175
30/01/2011,0.005252473,0.022163184,0.291960618,0.148627358,0.194257895,2011,6,0.329214662,0.742474442
06/02/2011,0.051263912,0.206104311,0.435327246,0.336086978,0.310098423,2011,7,0.343829301,0.769376218
13/02/2011,0.015424274,0.000161475,0.732122121,0.698486482,0.571717483,2011,8,0.312261682,0.71754319
20/02/2011,0.007550832,7.40122E-05,0.463660412,0.373102262,0.333018741,2011,9,0.340162355,0.749588427
27/02/2011,0.069692088,0.039495259,0.363692523,0.211521775,0.278461927,2011,10,0.332602601,0.73573678
06/03/2011,0.03047421,0.020499245,0.4479108,0.383760832,0.293748596,2011,11,0.278209574,0.686641821
13/03/2011,0.037895925,0,0.707435343,0.659768587,0.557239245,2011,12,0.299148365,0.732175077
20/03/2011,0.002060613,0,0.514770885,0.465885791,0.352271808,2011,13,0.285291031,0.7366077
27/03/2011,0.053703821,0.001763151,0.442858534,0.33884631,0.322204224,2011,14,0.297554041,0.738965475
03/04/2011,0.00352428,0,0.367623673,0.28005589,0.227793644,2011,15,0.293528372,0.73854007
10/04/2011,0.040904814,0,0.781508077,0.782592231,0.595032515,2011,16,0.266265428,0.717326564
17/04/2011,0.047170654,0,0.548243439,0.479196058,0.40518677,2011,17,0.230725285,0.653495489
24/04/2011,0.116819205,0.005324099,0.521476594,0.424165251,0.400573363,2011,18,0.244542761,0.679791204
01/05/2011,0.076176946,0,0.556215502,0.489142772,0.412033522,2011,19,0.252713673,0.697929043
08/05/2011,0.057107319,0.000590963,0.634593395,0.602880656,0.465803784,2011,20,0.207567726,0.708790669
15/05/2011,0.039206541,0,0.643374874,0.599736294,0.485322594,2011,21,0.18118166,0.656740535
22/05/2011,0.008395297,0,0.680608955,0.637013767,0.525097464,2011,22,0.179587336,0.672801798
29/05/2011,0.181697513,0,0.697326538,0.651306824,0.545031684,2011,23,0.185366761,0.664563999
05/06/2011,0.069749869,0.031124936,0.543725387,0.47189277,0.402721626,2011,24,0.14562823,0.615456185
12/06/2011,0.009013624,6.43745E-05,0.754355308,0.725080592,0.591785811,2011,25,0.155486468,0.616370095
19/06/2011,0.051257176,0,0.811098486,0.792548738,0.643347786,2011,26,0.175973534,0.680882031
26/06/2011,0.049314373,0,0.839109235,0.793984015,0.695869975,2011,27,0.097267063,0.57268062
03/07/2011,0.00593293,0.008397417,0.609186283,0.546476726,0.464965437,2011,28,0.166434161,0.636757657
10/07/2011,0.010776531,0,0.788872303,0.768729971,0.620935614,2011,29,0.162780501,0.636210989
17/07/2011,0.00169419,0,0.793294449,0.746254082,0.648510179,2011,30,0.172439449,0.677741238
24/07/2011,0.202728503,0,1,1,0.829571063,2011,31,0.107670028,0.583302669
31/07/2011,0.096537673,0,0.938561311,0.924055937,0.776199465,2011,32,0.187479241,0.711440756
07/08/2011,0.045153802,0.019729415,0.542775789,0.479910993,0.394089325,2011,33,0.200233834,0.713742616
14/08/2011,0.085164449,0,0.747089944,0.69843472,0.60047863,2011,34,0.207195717,0.709461071
21/08/2011,0.045943859,0,0.866287993,0.856486784,0.694927243,2011,35,0.208736897,0.698455463
28/08/2011,0.042298298,0,0.85418754,0.847491717,0.67935149,2011,36,0.193816679,0.698128748
04/09/2011,0.023991363,0.000876371,0.547759125,0.479196058,0.404257568,2011,37,0.208949473,0.68185403
11/09/2011,0.190641887,0,0.784564003,0.775840797,0.606630039,2011,38,0.14479121,0.585234955
18/09/2011,0.006723134,0.006329163,0.641816646,0.581550615,0.497779289,2011,39,0.215154052,0.699888677
25/09/2011,0.042281427,0,0.708166226,0.651505417,0.56565997,2011,40,0.412212523,0.830210925
02/10/2011,0.121713094,0,0.523319206,0.434777852,0.395094602,2011,41,0.413939708,0.841337499
09/10/2011,0.075944375,0.000454925,0.762390943,0.734461464,0.599235139,2011,42,0.379090438,0.782634836
16/10/2011,0.04037495,0,0.603207228,0.54087727,0.458250044,2011,43,0.377987697,0.777557306
23/10/2011,0.054955879,0,0.570355832,0.506363591,0.424536297,2011,44,0.392124038,0.79847057
30/10/2011,0.028771185,0,0.590920727,0.542986362,0.432885841,2011,45,0.371198533,0.759829269
06/11/2011,0.021494866,0.013357785,0.53837448,0.483461677,0.382629166,2011,46,0.387739647,0.798345871
13/11/2011,0.003422026,1.52533E-05,0.708615471,0.680973709,0.541492517,2011,47,0.283922569,0.742640534
20/11/2011,0.003055654,0,0.516682311,0.454127953,0.365925769,2011,48,0.370813238,0.79745813
27/11/2011,0.067629706,0,0.527286915,0.416706241,0.418056443,2011,49,0.339418337,0.728154524
04/12/2011,0.011814536,0.037896708,0.423149358,0.320551213,0.299929549,2011,50,0.261070589,0.668721362
11/12/2011,0.029231362,0,0.789725124,0.778781085,0.614034755,2011,51,0.293329082,0.737753208
18/12/2011,0.085695308,0.011677234,0.450360763,0.346486989,0.330108224,2011,52,0.276522247,0.767300509
01/01/2012,0.029250799,0.00098678,0.416891847,0.319930125,0.288451455,2012,1,0.308196155,0.762533438
08/01/2012,0.074967638,0,0.675877298,0.616144291,0.533745164,2012,2,0.363213626,0.818350289
15/01/2012,0.023057725,0.060666281,0.46664219,0.381045957,0.331992458,2012,3,0.325720435,0.758167655
22/01/2012,0.038189916,0.100952624,0.275620787,0.181384682,0.135085422,2012,4,0.383102821,0.829920162
29/01/2012,0.037738474,0.013805978,0.389965014,0.267159067,0.281611741,2012,5,0.38655719,0.862468333
05/02/2012,0.017164055,0.002704375,0.506077706,0.425505763,0.369890557,2012,6,0.318957843,0.728796442
12/02/2012,0.030442565,0,0.766716977,0.733207929,0.608599754,2012,7,0.390317138,0.831973237
19/02/2012,0.01400971,0.007094287,0.402850073,0.300890567,0.277682544,2012,8,0.38655719,0.816300303
26/02/2012,0.034014213,0.036869725,0.391210747,0.291186828,0.263593429,2012,9,0.386039034,0.81016247
