Date,Temperature,Humidity,Rainfall
2012-01-01,27.4,80.0,0.0
2012-01-02,27.8,80.0,0.5
2012-01-03,27.5,80.0,0.0
2012-01-04,27.2,80.0,0.0
2012-01-05,27.1,80.0,0.0
2012-01-06,27.1,80.0,0.0
2012-01-07,27.1,80.0,0.0
2012-01-08,24.9,80.0,1.8
2012-01-09,25.6,80.0,26.2
2012-01-10,25.4,80.0,1.3
2012-01-11,26.2,80.0,2.3
2012-01-12,25.8,80.0,5.6
2012-01-13,26.5,80.0,8.966666666666667
2012-01-14,27.1,80.0,12.333333333333332
2012-01-15,27.4,80.0,15.7
2012-01-16,27.8,80.0,0.0
2012-01-17,27.5,80.0,0.0
2012-01-18,26.9,80.0,0.0
2012-01-19,27.5,80.0,0.0
2012-01-20,25.8,80.0,0.0
2012-01-21,26.7,80.0,10.7
2012-01-22,26.7,80.0,7.1499999999999995
2012-01-23,25.7,80.0,3.6
2012-01-24,26.5,80.0,5.3
2012-01-25,27.5,80.0,0.0
2012-01-26,26.9,80.0,0.0
2012-01-27,27.0,80.0,0.0
2012-01-28,26.2,80.0,0.0
2012-01-29,27.0,80.0,0.0
2012-01-30,27.3,80.0,2.5
2012-01-31,26.6,80.0,0.0
2012-02-01,27.4,80.0,15.0
2012-02-02,25.7,80.0,0.0
2012-02-03,24.9,80.0,1.15
2012-02-04,26.7,80.0,2.3
2012-02-05,27.5,80.0,0.0
2012-02-06,27.5,80.0,0.0
2012-02-07,27.5,80.0,0.0
2012-02-08,27.3,80.0,0.0
2012-02-09,27.1,80.0,0.0
2012-02-10,27.7,80.0,0.0
2012-02-11,28.2,80.0,0.0
2012-02-12,28.1,80.0,0.75
2012-02-13,26.9,80.0,1.5
2012-02-14,27.6,80.0,4.8
2012-02-15,27.3,80.0,0.0
2012-02-16,26.9,80.0,9.15
2012-02-17,26.6,80.0,18.3
2012-02-18,25.4,80.0,2.0
2012-02-19,25.9,80.0,1.0
2012-02-20,27.2,80.0,0.0
2012-02-21,27.0,80.0,0.5
2012-02-22,27.7,80.0,1.0
2012-02-23,28.2,80.0,0.0
2012-02-24,28.4,80.0,0.0
2012-02-25,28.3,80.0,0.3
2012-02-26,27.9,80.0,0.0
2012-02-27,27.3,80.0,0.5
2012-02-28,28.3,80.0,0.25
2012-02-29,28.3,80.0,0.0
2012-03-01,26.9,80.0,0.0
2012-03-02,25.8,80.0,2.05
2012-03-03,27.7,80.0,4.1
2012-03-04,28.2,80.0,0.3
2012-03-05,25.3,80.0,0.3
2012-03-06,27.7,80.0,29.7
2012-03-07,27.4,80.0,14.85
2012-03-08,27.7,80.0,0.0
2012-03-09,26.6,80.0,6.1
2012-03-10,27.6,80.0,0.3
2012-03-11,26.6,80.0,6.1
2012-03-12,25.6,80.0,10.4
2012-03-13,27.0,80.0,0.0
2012-03-14,24.6,80.0,39.4
2012-03-15,27.1,80.0,9.4
2012-03-16,28.3,80.0,0.0
2012-03-17,28.2,80.0,0.0
2012-03-18,26.8,80.0,0.0
2012-03-19,27.4,80.0,23.6
2012-03-20,27.7,80.0,0.0
2012-03-21,27.7,80.0,0.0
2012-03-22,27.4,80.0,0.0
2012-03-23,27.8,80.0,6.1
2012-03-24,27.9,80.0,0.5
2012-03-25,27.3,80.0,0.3
2012-03-26,27.9,80.0,0.5
2012-03-27,27.3,80.0,0.0
2012-03-28,27.6,80.0,36.6
2012-03-29,26.8,80.0,0.0
2012-03-30,26.4,80.0,1.5333333333333332
2012-03-31,26.1,80.0,3.0666666666666664
2012-04-01,28.6,80.0,4.6
2012-04-02,26.5,80.0,24.9
2012-04-03,27.5,80.0,2.3
2012-04-04,27.4,80.0,24.1
2012-04-05,27.8,80.0,1.5
2012-04-06,26.8,80.0,2.0
2012-04-07,27.4,80.0,0.8
2012-04-08,27.3,80.0,0.4
2012-04-09,26.9,80.0,0.0
2012-04-10,26.2,80.0,27.2
2012-04-11,26.2,80.0,26.799999999999997
2012-04-12,27.8,80.0,26.4
2012-04-13,28.8,80.0,24.03333333333333
2012-04-14,27.6,80.0,21.666666666666668
2012-04-15,27.4,80.0,19.3
2012-04-16,28.0,80.0,48.5
2012-04-17,27.5,80.0,0.5
2012-04-18,28.3,80.0,0.0
2012-04-19,26.3,80.0,0.0
2012-04-20,28.3,80.0,11.866666666666667
2012-04-21,26.8,80.0,23.733333333333334
2012-04-22,27.1,80.0,35.6
2012-04-23,27.8,80.0,18.05
2012-04-24,27.0,80.0,0.5
2012-04-25,27.9,80.0,1.5
2012-04-26,28.6,80.0,0.0
2012-04-27,29.1,80.0,0.0
2012-04-28,29.4,80.0,0.0
2012-04-29,28.9,80.0,0.5
2012-04-30,27.6,80.0,0.0
2012-05-01,27.4,80.0,2.3
2012-05-02,27.5,80.0,1.4
2012-05-03,29.1,80.0,0.5
2012-05-04,27.2,80.0,0.0
2012-05-05,27.8,80.0,79.2
2012-05-06,26.4,80.0,0.0
2012-05-07,26.1,80.0,34.0
2012-05-08,28.9,80.0,1.3
2012-05-09,27.4,80.0,18.0
2012-05-10,28.3,80.0,0.5
2012-05-11,28.2,80.0,0.0
2012-05-12,28.9,80.0,10.2
2012-05-13,28.2,80.0,18.5
2012-05-14,29.8,80.0,9.25
2012-05-15,28.3,80.0,0.0
2012-05-16,28.3,80.0,11.55
2012-05-17,27.2,80.0,23.1
2012-05-18,29.3,80.0,1.5
2012-05-19,29.4,80.0,0.0
2012-05-20,28.5,80.0,0.0
2012-05-21,29.2,80.0,6.1
2012-05-22,29.1,80.0,0.0
2012-05-23,27.6,80.0,27.2
2012-05-24,28.9,80.0,14.0
2012-05-25,28.7,80.0,0.8
2012-05-26,27.8,80.0,0.0
2012-05-27,27.2,80.0,11.9
2012-05-28,28.9,80.0,0.0
2012-05-29,28.1,80.0,0.0
2012-05-30,28.6,80.0,0.0
2012-05-31,27.5,80.0,0.8
2012-06-01,27.6,80.0,33.8
2012-06-02,28.0,80.0,0.3
2012-06-03,28.7,80.0,0.0
2012-06-04,28.4,80.0,0.0
2012-06-05,28.8,80.0,2.3
2012-06-06,28.9,80.0,1.5333333333333332
2012-06-07,29.8,80.0,0.7666666666666666
2012-06-08,27.2,80.0,0.0
2012-06-09,27.1,80.0,38.1
2012-06-10,29.1,80.0,1.5
2012-06-11,29.1,80.0,0.0
2012-06-12,28.5,80.0,0.0
2012-06-13,29.4,80.0,0.0
2012-06-14,29.7,80.0,0.0
2012-06-15,29.6,80.0,0.0
2012-06-16,29.6,80.0,0.0
2012-06-17,29.4,80.0,0.0
2012-06-18,29.2,80.0,0.0
2012-06-19,28.6,80.0,0.0
2012-06-20,29.0,80.0,0.0
2012-06-21,27.4,80.0,0.0
