Date,Temperature,Humidity,Rainfall
2012-01-01,-2.2,96,4.8
2012-01-02,3.0,99,5.6
2012-01-03,2.0,91,2.5
2012-01-04,1.3,95,11.6
2012-01-05,-1.1,88,0.0
2012-01-06,-2.4,68,0.0
2012-01-07,-4.9,77,0.0
2012-01-08,-4.0,86,0.0
2012-01-09,-5.6,80,0.0
2012-01-10,-3.6,91,0.0
2012-01-11,0.8,95,0.7
2012-01-12,1.1,85,4.2
2012-01-13,-0.7,59,0.6
2012-01-14,-1.9,66,0.0
2012-01-15,-3.0,78,0.0
2012-01-16,-1.9,94,2.5
2012-01-17,-0.5,98,0.0
2012-01-18,-0.4,98,1.8
2012-01-19,-0.9,97,1.3
2012-01-20,-4.4,88,0.0
2012-01-21,-3.9,85,0.1
2012-01-22,-1.4,89,0.3
2012-01-23,-2.8,87,0.0
2012-01-24,-3.6,92,0.0
2012-01-25,-4.1,84,0.0
2012-01-26,-3.7,86,0.0
2012-01-27,-2.9,81,0.0
2012-01-28,-2.9,80,0.0
2012-01-29,-3.4,83,0.0
2012-01-30,-5.1,89,0.0
2012-01-31,-5.2,90,0.0
2012-02-01,-6.0,82,0.0
2012-02-02,-10.1,76,0.0
2012-02-03,-11.9,74,0.2
2012-02-04,-15.8,77,0.0
2012-02-05,-14.8,78,0.0
2012-02-06,-9.7,72,0.0
2012-02-07,-7.3,87,0.0
2012-02-08,-6.7,87,1.5
2012-02-09,-7.7,82,0.0
2012-02-10,-11.1,88,0.0
2012-02-11,-4.7,89,0.0
2012-02-12,-3.9,87,0.5
2012-02-13,-7.1,87,0.0
2012-02-14,-2.4,88,4.8
2012-02-15,-2.6,89,3.3
2012-02-16,-6.3,83,0.8
2012-02-17,-3.4,89,0.1
2012-02-18,-3.1,92,5.7
2012-02-19,1.0,88,1.7
2012-02-20,-3.0,77,0.0
2012-02-21,1.1,80,1.2
2012-02-22,0.3,90,4.3
2012-02-23,2.3,87,8.9
2012-02-24,1.1,89,0.0
2012-02-25,-0.4,80,0.1
2012-02-26,-2.7,71,0.0
2012-02-27,-3.2,71,0.0
2012-02-28,2.2,86,1.9
2012-02-29,2.3,87,0.0
2012-03-01,3.0,95,0.2
2012-03-02,2.8,61,0.3
2012-03-03,-0.3,77,0.0
2012-03-04,-2.0,75,0.0
2012-03-05,-3.7,79,0.0
2012-03-06,-3.1,74,0.0
2012-03-07,-1.9,72,0.0
2012-03-08,-0.6,68,0.0
2012-03-09,2.1,87,0.0
2012-03-10,4.4,84,1.0
2012-03-11,3.1,57,0.0
2012-03-12,5.9,68,0.0
2012-03-13,5.5,55,0.0
2012-03-14,0.8,60,0.0
2012-03-15,3.6,79,0.0
2012-03-16,4.3,85,0.0
2012-03-17,4.2,89,0.0
2012-03-18,4.6,87,0.0
2012-03-19,1.4,61,0.4
2012-03-20,2.1,76,0.2
2012-03-21,6.6,80,0.0
2012-03-22,8.5,73,0.0
2012-03-23,7.3,64,0.0
2012-03-24,7.3,70,0.0
2012-03-25,5.0,62,0.0
2012-03-26,6.8,67,0.0
2012-03-27,9.3,63,0.5
2012-03-28,7.0,86,8.4
2012-03-29,4.8,66,0.8
2012-03-30,2.6,83,3.1
2012-03-31,-0.2,78,3.9
2012-04-01,0.3,66,2.0
2012-04-02,-0.6,57,0.1
2012-04-03,0.1,53,0.4
2012-04-04,1.7,52,0.0
2012-04-05,2.8,56,0.0
2012-04-06,0.1,75,6.6
2012-04-07,-1.4,61,0.0
2012-04-08,-1.1,62,0.0
2012-04-09,0.9,72,1.5
2012-04-10,3.4,88,5.2
2012-04-11,5.6,84,1.2
2012-04-12,6.7,80,0.1
2012-04-13,3.0,92,7.1
2012-04-14,1.4,92,17.4
2012-04-15,2.4,89,0.4
2012-04-16,3.9,79,0.0
2012-04-17,2.2,83,2.8
2012-04-18,2.8,76,0.0
2012-04-19,5.0,72,0.0
2012-04-20,2.1,93,14.2
2012-04-21,4.6,83,0.0
2012-04-22,4.5,98,11.7
2012-04-23,6.2,84,0.0
2012-04-24,6.6,85,1.5
2012-04-25,7.6,78,2.4
2012-04-26,8.1,90,3.9
2012-04-27,11.0,73,0.7
2012-04-28,11.0,58,0.0
2012-04-29,8.1,58,0.0
2012-04-30,9.0,63,0.0
2012-05-01,8.5,58,0.0
2012-05-02,11.0,64,0.0
2012-05-03,8.1,57,0.0
2012-05-04,6.4,70,0.9
2012-05-05,8.1,73,0.0
2012-05-06,7.6,58,0.0
2012-05-07,8.0,56,0.4
2012-05-08,8.4,59,0.0
2012-05-09,9.4,75,4.2
2012-05-10,12.6,86,9.1
2012-05-11,14.0,86,3.3
2012-05-12,8.8,75,3.8
2012-05-13,8.5,58,0.0
2012-05-14,10.2,66,0.0
2012-05-15,11.0,67,0.2
2012-05-16,10.4,73,1.4
2012-05-17,11.0,74,1.9
2012-05-18,10.4,69,0.2
2012-05-19,11.7,64,0.0
2012-05-20,14.1,67,0.0
2012-05-21,14.1,75,2.6
2012-05-22,14.5,65,0.0
2012-05-23,14.8,58,0.0
2012-05-24,16.2,59,0.0
2012-05-25,17.9,54,0.4
2012-05-26,14.0,67,1.5
2012-05-27,15.8,58,0.0
2012-05-28,12.5,60,0.0
2012-05-29,9.9,51,0.0
2012-05-30,9.4,60,0.6
2012-05-31,10.0,81,9.1
2012-06-01,6.5,89,4.8
2012-06-02,5.2,94,25.8
2012-06-03,8.3,92,6.5
2012-06-04,9.8,84,4.3
2012-06-05,11.4,77,2.5
2012-06-06,11.6,86,5.3
2012-06-07,12.4,81,3.3
2012-06-08,13.2,69,0.0
2012-06-09,11.5,82,4.6
2012-06-10,13.5,83,6.9
2012-06-11,13.4,85,4.3
2012-06-12,13.9,85,3.1
2012-06-13,14.5,88,11.1
2012-06-14,14.8,75,0.0
2012-06-15,13.5,72,0.0
2012-06-16,12.2,89,4.1
2012-06-17,13.0,94,4.3
2012-06-18,14.8,78,2.4
2012-06-19,14.9,73,7.1
2012-06-20,14.9,69,0.2
2012-06-21,15.4,73,0.1
2012-06-22,14.9,59,0.0
2012-06-23,13.3,76,0.7
2012-06-24,14.9,81,1.4
2012-06-25,12.0,95,19.9
2012-06-26,13.8,86,3.3
2012-06-27,13.5,79,1.6
2012-06-28,13.8,72,0.0
2012-06-29,15.9,67,0.7
2012-06-30,16.5,81,5.3
2012-07-01,17.8,76,0.2
2012-07-02,16.0,70,0.0
2012-07-03,16.4,73,0.0
2012-07-04,17.2,72,0.0
2012-07-05,17.3,74,0.0
2012-07-06,18.1,79,1.2
2012-07-07,19.8,91,5.7
2012-07-08,18.7,95,5.2
2012-07-09,18.6,90,3.8
2012-07-10,16.3,93,23.0
2012-07-11,15.9,84,1.2
2012-07-12,16.5,85,9.6
2012-07-13,15.3,83,1.9
2012-07-14,15.1,80,3.4
2012-07-15,14.5,98,26.9
2012-07-16,15.3,79,2.2
2012-07-17,14.4,82,7.8
2012-07-18,14.9,86,0.9
2012-07-19,15.3,76,0.0
2012-07-20,15.8,81,2.7
2012-07-21,14.3,76,6.9
2012-07-22,16.1,66,0.3
2012-07-23,16.1,81,2.8
2012-07-24,19.4,77,0.0
2012-07-25,20.8,70,0.1
2012-07-26,17.6,75,0.0
2012-07-27,17.0,69,0.0
2012-07-28,19.5,81,0.9
2012-07-29,18.8,76,1.9
2012-07-30,17.8,76,9.0
2012-07-31,15.8,80,2.0
2012-08-01,15.4,75,0.3
2012-08-02,17.6,73,0.0
2012-08-03,18.8,86,4.3
2012-08-04,17.4,73,0.0
2012-08-05,17.5,76,0.0
2012-08-06,17.1,84,16.1
2012-08-07,16.2,87,9.3
2012-08-08,15.0,87,1.8
2012-08-09,13.7,90,10.1
2012-08-10,13.9,84,4.0
2012-08-11,15.1,79,0.6
2012-08-12,16.0,87,2.5
2012-08-13,15.6,77,0.0
2012-08-14,16.6,77,0.0
2012-08-15,17.5,80,0.7
2012-08-16,17.2,88,1.6
2012-08-17,17.5,86,0.3
2012-08-18,17.2,83,0.0
2012-08-19,18.6,86,8.2
2012-08-20,16.4,81,0.0
2012-08-21,16.1,85,1.2
2012-08-22,15.5,94,5.9
2012-08-23,14.2,94,13.3
2012-08-24,13.9,92,8.2
2012-08-25,14.7,86,0.0
2012-08-26,14.8,93,7.2
2012-08-27,12.6,73,1.0
2012-08-28,12.2,68,0.2
2012-08-29,15.8,81,0.7
2012-08-30,16.4,85,0.9
2012-08-31,14.8,96,33.9
2012-09-01,14.5,98,19.5
2012-09-02,14.8,85,0.2
2012-09-03,15.7,77,0.0
2012-09-04,14.9,85,1.1
2012-09-05,14.6,60,0.0
2012-09-06,11.3,58,1.0
2012-09-07,11.1,77,0.6
2012-09-08,11.2,63,0.1
2012-09-09,10.5,67,0.0
2012-09-10,15.2,85,0.2
2012-09-11,16.7,85,0.8
2012-09-12,12.8,77,0.6
2012-09-13,11.0,74,0.0
2012-09-14,10.5,90,5.7
2012-09-15,12.2,76,0.0
2012-09-16,13.3,76,0.0
2012-09-17,14.0,75,1.7
2012-09-18,11.7,88,4.9
2012-09-19,10.7,83,0.3
2012-09-20,8.9,79,0.0
2012-09-21,8.5,84,5.9
2012-09-22,9.7,95,13.7
2012-09-23,9.4,92,2.5
2012-09-24,8.8,76,0.1
2012-09-25,8.9,84,0.1
2012-09-26,10.6,96,10.8
